id_abonnement;produit_ar_ref;id_adherent;annee;qte;reglt_mois_depart;MR_No;reglt_mois_nb;nb;nb_initial;DO_Piece;id_abonnement_prec;reste_precedent
28694;APDS;259045;2025;1;1;6;12;50;50;AFA250235;26844;0
28695;APS15;258218;2025;1;1;20;12;25;25;;26845;0
28696;APS;257844;2025;1;1;41;12;50;50;;26846;0
28697;APS15;374;2025;1;1;41;12;25;25;;26847;0
28698;APS;260066;2025;1;1;41;12;50;50;;26849;0
29072;ABF1;258903;2025;1;1;41;12;25;0;;0;0
28700;APS;258602;2025;1;1;41;12;50;50;;26852;0
28701;APS;260368;2025;1;1;41;12;50;50;AFA250183;26861;6
28702;APS;431;2025;1;1;41;12;50;50;;26863;0
28703;APS;260375;2025;1;1;41;12;50;50;;26864;0
28704;APF;260376;2025;1;1;41;12;50;50;AFA250230;26865;0
28705;APS;259996;2025;1;1;41;12;50;50;AFA250183;26867;0
28706;APS;260260;2025;1;1;41;12;50;50;;26870;0
29568;ABOEUF6;260821;2025;1;1;5;12;1;0;;0;0
28708;APS;257905;2025;1;1;41;12;50;50;;26873;0
28709;APF;260393;2025;1;1;41;12;50;50;;26875;0
28710;APS;260290;2025;1;1;41;12;50;50;;26877;0
29006;ABOEUF6;258428;2025;1;1;41;12;25;0;AFA250251;0;0
28712;APS15;260402;2025;1;1;20;12;25;25;;26880;0
28713;APS;260422;2025;1;1;41;12;50;50;AFA250183;26882;0
28714;APS;260426;2025;1;1;41;12;50;50;;26884;0
28715;APS;258803;2025;1;1;41;12;50;50;;26887;0
29180;ABF2;506;2025;1;1;41;12;25;0;AFA250260;0;0
28717;APF;260444;2025;1;1;41;12;50;50;;26890;0
28718;APS;260445;2025;1;1;41;12;50;50;;26892;0
29539;APF15;260451;2025;1;1;41;12;2;25;;0;0
28720;APS;260464;2025;1;1;41;12;50;50;AFA250182;26898;0
29613;ABF1;260772;2025;1;1;41;12;50;0;AFA250276;0;0
28988;ABF3;260639;2025;1;1;41;12;50;0;AFA250254;0;0
28723;APS;260458;2025;1;1;41;12;50;50;;26903;0
28724;APS;259427;2025;1;1;41;12;50;50;;26905;0
28725;APS;260465;2025;1;1;41;12;50;50;;26907;0
28726;APF;258961;2025;1;1;41;12;50;50;;26908;4
28727;APS;257882;2025;1;1;5;12;50;50;;26917;2
28728;APS;258223;2025;1;1;5;12;50;50;;26919;0
28729;APS;1539;2025;1;1;41;12;50;50;;26921;0
29093;ABOEUF6;260800;2025;1;1;44;12;100;0;;0;0
28731;APS15;260551;2025;1;1;26;12;25;25;;27644;0
29438;APDSS12;633;2025;1;1;5;12;12;12;;0;0
29020;ABOEUF6;1539;2025;1;1;41;12;50;0;AFA250251;0;0
29041;ABOEUF6;260376;2025;1;1;41;12;50;0;;0;0
28735;APS;258942;2025;1;1;41;12;50;50;AFA250182;26945;0
28736;APS;260221;2025;1;1;41;12;50;50;;27585;0
28737;APS15;258777;2025;1;1;41;12;25;25;;26954;1
29191;ABF1;258155;2025;1;1;5;12;35;0;;0;0
28739;APS;178;2025;1;1;41;12;50;50;AFA250181;26977;0
29573;APS;258903;2025;1;1;41;12;50;50;;0;0
28741;APS;260507;2025;1;1;41;12;50;50;AFA250181;27002;0
29108;ABOEUF6;185;2025;1;1;5;12;50;0;;0;0
29031;MPSSO;260475;2025;1;1;5;12;24;50;;0;0
28744;APS15;258294;2025;1;1;44;12;25;25;;27038;0
28978;ABOEUF6;258990;2025;1;1;41;12;50;0;;0;0
29190;APS;596;2025;1;1;5;12;35;50;AFA250181;0;0
28747;APF;259645;2025;1;1;41;12;50;50;AFA250230;27060;0
29541;ABF1;259398;2025;1;1;11;12;31;0;;0;0
28749;APF;259382;2025;1;1;41;12;50;50;;27087;0
28750;APS;258531;2025;1;1;41;12;50;50;AFA250181;27112;0
28751;APS;260512;2025;1;1;41;12;50;50;AFA250181;27114;0
28752;APS;260513;2025;1;1;41;12;50;50;;27128;0
28753;APS;260515;2025;1;1;41;12;50;50;;27132;0
28754;APS;257900;2025;1;1;41;12;50;50;;27158;0
29456;APS;166;2025;1;1;41;12;39;50;AFA250181;0;0
28756;APF;258659;2025;1;1;41;12;50;50;;27184;0
28757;APS;260519;2025;1;1;41;12;3;50;;27191;0
28758;APSS12;258522;2025;1;1;41;12;12;12;;27197;0
28759;MPSSO;260404;2025;1;1;5;12;1;50;;27258;0
28760;APS;260482;2025;1;1;5;12;50;50;;27261;0
28761;APS;260200;2025;1;1;5;12;50;50;;27263;2
28762;APS;259466;2025;1;1;5;12;50;50;;27264;0
28763;APS;259934;2025;1;1;40;12;50;50;;27266;0
28764;MPSSO;260297;2025;1;1;5;12;50;50;;27268;1
28765;MPSSO;260314;2025;1;1;5;12;50;50;;27269;0
28766;APS;24;2025;1;1;5;12;50;50;;27270;4
28767;MPSSO;260332;2025;1;1;5;12;50;50;;27271;0
29289;MPSSO;260406;2025;1;1;40;12;50;50;;0;0
28769;APS;258147;2025;1;1;5;12;50;50;;27273;1
28770;MPSSO;260312;2025;1;1;5;12;50;50;;27275;0
28771;MPSSO;260378;2025;1;1;5;12;50;50;;27276;0
28772;MPSSO;260390;2025;1;1;5;12;50;50;;27278;0
28773;MPSSO;260259;2025;1;1;5;12;50;50;;27280;1
29158;MPSH;1589;2025;1;1;41;12;12;0;AFA250163;0;0
28775;APS;33;2025;1;1;5;12;50;50;;27283;0
28776;APS;93805;2025;1;1;5;12;50;50;;27256;0
28777;MPSSO;260379;2025;1;1;5;12;50;50;AFA250160;27290;0
28778;APS;259440;2025;1;1;5;12;50;50;;27291;2
28779;MPSSO;260377;2025;1;1;5;12;50;50;;27292;0
28780;APS;396;2025;1;1;5;12;50;50;;27294;1
28781;MPSSO;259686;2025;1;1;5;12;50;50;;27295;0
28782;MPSSO;259366;2025;1;1;5;12;50;50;;27297;0
28783;APS;150089;2025;1;1;5;12;50;50;;27298;0
29183;ABF2;260586;2025;1;1;41;12;50;0;;0;0
29042;ABF2;260376;2025;1;1;41;12;12;0;;0;0
29156;ABF1;258284;2025;1;1;41;12;25;0;AFA250274;0;0
29498;APS;260814;2025;1;1;41;12;50;50;AFA250179;0;0
29361;MPSH;90954;2025;1;1;0;12;12;0;;0;0
28789;APS15;258671;2025;1;1;41;12;25;25;;27355;0
28790;APF;258425;2025;1;1;41;12;50;50;AFA250229;27402;0
28791;APS;260249;2025;1;1;5;12;50;50;;27414;0
29160;ABOEUF6;258723;2025;1;1;41;12;50;0;;0;0
29142;APS15;260682;2025;1;1;41;12;25;25;AFA250167;0;0
29027;MPSSO;260475;2025;1;1;5;12;24;50;;0;0
28795;APS;594;2025;1;1;5;12;50;50;;27488;0
28796;APS;239121;2025;1;1;5;12;50;50;;27513;0
28797;APF;260527;2025;1;1;41;12;50;50;AFA250229;27526;1
28798;APDSS6;633;2025;1;1;5;12;6;6;;27533;0
29551;ABF1;260368;2025;1;1;41;12;23;0;AFA250274;0;0
28800;APF15;56879;2025;1;1;41;12;25;25;AFA250227;27541;0
28801;APS;259498;2025;1;1;41;12;50;50;;27556;0
28802;APF;362;2025;1;1;41;12;50;50;AFA250229;27563;0
28803;APS;258282;2025;1;1;37;12;50;50;;27583;0
29549;ABF1;259964;2025;1;1;5;12;25;0;;0;0
28805;APS;258723;2025;1;1;41;12;50;50;;27601;0
28806;APS;260541;2025;1;1;41;12;50;50;;27607;0
29239;MPSSO;260081;2025;1;1;5;12;25;50;;0;0
28808;APS15;259805;2025;1;1;41;12;25;25;;27625;0
28809;APS15;258216;2025;1;1;43;12;25;25;;27632;0
28810;APS;260391;2025;1;1;41;12;50;50;;27651;0
28811;APS15;260435;2025;1;1;44;12;25;25;AFA250276;27658;0
28812;APF;258509;2025;1;1;41;12;50;50;;27661;1
29021;ABOEUF6;259553;2025;1;1;5;12;25;0;;0;0
29028;MPSSO;260475;2025;1;1;5;12;24;50;AFA250160;0;0
28815;APS;260570;2025;1;1;41;12;50;50;;27666;0
29023;ABOEUF6;155215;2025;1;1;41;12;50;0;AFA250250;0;0
29153;ABOEUF6;258768;2025;1;1;41;12;150;0;;0;0
29032;MPSSO;260475;2025;1;1;5;12;24;50;;0;0
28819;APS;259908;2025;1;1;41;12;50;50;;27679;0
28820;APS;260588;2025;1;1;5;12;50;50;;27684;0
28821;APS;260142;2025;1;1;41;12;50;50;;27687;0
28822;APS;260594;2025;1;1;20;12;50;50;;27690;0
29030;MPSSO;260475;2025;1;1;5;12;24;50;;0;0
29026;MPSSO;260475;2025;1;1;5;12;24;50;;0;0
28958;ABOEUF6;258474;2025;1;1;41;12;50;0;;0;0
28826;APS;260605;2025;1;1;25;12;50;50;;27706;0
28827;APS;260611;2025;1;1;2;12;50;50;;27710;0
29141;ABOEUF6;257867;2025;1;1;41;12;50;0;;0;0
29617;ABF1;260512;2025;1;1;41;12;12;0;AFA250277;0;0
29162;ABOEUF6;506;2025;1;1;41;12;50;0;;0;0
28831;APS;260616;2025;1;1;41;12;50;50;;27721;0
28832;APS;260617;2025;1;1;34;12;50;50;AFA250178;27722;0
29565;APS;258298;2025;1;1;5;12;4;50;;0;0
28834;MPSSO;260619;2025;1;1;5;12;50;50;;27731;1
29043;ABF1;242178;2025;1;1;41;12;50;0;AFA250274;0;0
29434;ABOEUF6;258561;2025;1;1;41;12;12;0;;0;0
29033;MPSSO;260475;2025;1;1;5;12;24;50;;0;0
29277;ABF2;260681;2025;1;1;41;12;50;0;;0;0
29198;APS;112452;2025;1;1;44;12;50;50;;0;0
28840;APS;260635;2025;1;1;41;12;50;50;;27751;0
29181;ABF1;1559;2025;1;1;41;12;50;0;;0;0
28842;APS15;260423;2025;1;1;41;12;25;25;AFA250167;27757;1
29018;ABOEUF6;94;2025;1;1;41;12;25;0;;0;0
29557;APS15;550;2025;1;1;41;12;25;25;;0;0
28845;APS;260645;2025;1;1;39;12;50;50;;27767;0
28846;APS;260646;2025;1;1;33;12;50;50;AFA250177;27768;0
28847;APS;260647;2025;1;1;23;12;50;50;;27769;0
28848;APS;260657;2025;1;1;33;12;50;50;;27775;0
28849;APS;260658;2025;1;1;33;12;50;50;AFA250177;27778;0
28850;APS15;260434;2025;1;1;41;12;1;25;AFA250167;27780;0
28851;APS;260447;2025;1;1;41;12;50;50;;27781;0
29182;ABOEUF6;259230;2025;1;1;41;12;100;0;;0;0
28853;APS;260665;2025;1;1;33;12;50;50;;27788;10
28854;APF15;260666;2025;1;1;33;12;25;25;AFA250227;27797;0
28855;APF;260672;2025;1;1;32;12;50;50;;27804;0
29437;ABF1;258163;2025;1;1;41;12;1;0;AFA250273;0;0
28957;ABF1;258474;2025;1;1;41;12;23;0;AFA250273;0;0
28858;APS;258635;2025;1;1;41;12;50;50;;27810;0
28859;APS15;81730;2025;1;1;41;12;25;25;;27813;3
28860;APS;260680;2025;1;1;32;12;50;50;;27815;0
29022;ABOEUF6;14747;2025;1;1;41;12;50;0;AFA250250;0;0
28862;MPSSO;260688;2025;1;1;5;12;50;50;;27827;0
28863;APS;258416;2025;1;1;20;12;50;50;;27829;0
29461;APS;260441;2025;1;1;41;12;50;50;AFA250176;0;0
28865;APS;260693;2025;1;1;31;12;50;50;;27834;0
28866;APS;260695;2025;1;1;31;12;50;50;;27837;0
28867;APS;260696;2025;1;1;31;12;50;50;;27839;0
28976;ABF1;258504;2025;1;1;41;12;13;0;;0;0
